date,la_fuel_price,yr,mo,day
4/17/1996,0.905,1996,4,17
4/18/1996,0.93,1996,4,18
4/19/1996,0.94,1996,4,19
4/22/1996,0.96,1996,4,22
4/23/1996,0.955,1996,4,23
4/24/1996,0.96,1996,4,24
4/25/1996,0.96,1996,4,25
4/26/1996,0.955,1996,4,26
4/29/1996,0.955,1996,4,29
4/30/1996,0.98,1996,4,30
5/1/1996,0.945,1996,5,1
5/2/1996,0.98,1996,5,2
5/3/1996,0.975,1996,5,3
5/6/1996,0.97,1996,5,6
5/7/1996,0.945,1996,5,7
5/8/1996,0.945,1996,5,8
5/9/1996,0.93,1996,5,9
5/10/1996,0.91,1996,5,10
5/13/1996,0.845,1996,5,13
5/14/1996,0.845,1996,5,14
5/15/1996,0.81,1996,5,15
5/16/1996,0.785,1996,5,16
5/17/1996,0.785,1996,5,17
5/20/1996,0.8,1996,5,20
5/21/1996,0.8,1996,5,21
5/22/1996,0.815,1996,5,22
5/23/1996,0.875,1996,5,23
5/24/1996,0.83,1996,5,24
5/28/1996,0.83,1996,5,28
5/29/1996,0.853,1996,5,29
5/30/1996,0.833,1996,5,30
5/31/1996,0.845,1996,5,31
6/3/1996,0.845,1996,6,3
6/4/1996,0.845,1996,6,4
6/5/1996,0.83,1996,6,5
6/6/1996,0.825,1996,6,6
6/7/1996,0.795,1996,6,7
6/10/1996,0.785,1996,6,10
6/11/1996,0.778,1996,6,11
6/12/1996,0.735,1996,6,12
6/13/1996,0.735,1996,6,13
6/14/1996,0.715,1996,6,14
6/17/1996,0.675,1996,6,17
6/18/1996,0.685,1996,6,18
6/19/1996,0.66,1996,6,19
6/20/1996,0.665,1996,6,20
6/21/1996,0.705,1996,6,21
6/24/1996,0.71,1996,6,24
6/25/1996,0.73,1996,6,25
6/26/1996,0.73,1996,6,26
6/27/1996,0.728,1996,6,27
6/28/1996,0.73,1996,6,28
7/1/1996,0.725,1996,7,1
7/2/1996,0.725,1996,7,2
7/3/1996,0.74,1996,7,3
7/5/1996,0.74,1996,7,5
7/8/1996,0.735,1996,7,8
7/9/1996,0.74,1996,7,9
7/10/1996,0.73,1996,7,10
7/11/1996,0.73,1996,7,11
7/12/1996,0.715,1996,7,12
7/15/1996,0.705,1996,7,15
7/16/1996,0.69,1996,7,16
7/17/1996,0.665,1996,7,17
7/18/1996,0.665,1996,7,18
7/19/1996,0.645,1996,7,19
7/22/1996,0.64,1996,7,22
7/23/1996,0.653,1996,7,23
7/24/1996,0.665,1996,7,24
7/25/1996,0.67,1996,7,25
7/26/1996,0.655,1996,7,26
7/29/1996,0.658,1996,7,29
7/30/1996,0.67,1996,7,30
7/31/1996,0.666,1996,7,31
8/2/1996,0.695,1996,8,2
8/5/1996,0.693,1996,8,5
8/6/1996,0.693,1996,8,6
8/7/1996,0.695,1996,8,7
8/8/1996,0.695,1996,8,8
8/9/1996,0.695,1996,8,9
8/12/1996,0.705,1996,8,12
8/13/1996,0.71,1996,8,13
8/14/1996,0.695,1996,8,14
8/15/1996,0.698,1996,8,15
8/16/1996,0.7,1996,8,16
8/19/1996,0.7,1996,8,19
8/20/1996,0.7,1996,8,20
8/21/1996,0.713,1996,8,21
8/22/1996,0.723,1996,8,22
8/23/1996,0.715,1996,8,23
8/26/1996,0.715,1996,8,26
8/27/1996,0.715,1996,8,27
8/28/1996,0.715,1996,8,28
8/29/1996,0.715,1996,8,29
8/30/1996,0.73,1996,8,30
9/3/1996,0.74,1996,9,3
9/4/1996,0.765,1996,9,4
9/5/1996,0.763,1996,9,5
9/6/1996,0.765,1996,9,6
9/9/1996,0.765,1996,9,9
9/10/1996,0.783,1996,9,10
9/11/1996,0.785,1996,9,11
9/12/1996,0.785,1996,9,12
9/13/1996,0.79,1996,9,13
9/16/1996,0.78,1996,9,16
9/17/1996,0.775,1996,9,17
9/18/1996,0.765,1996,9,18
9/19/1996,0.765,1996,9,19
9/20/1996,0.743,1996,9,20
9/23/1996,0.745,1996,9,23
9/24/1996,0.745,1996,9,24
9/25/1996,0.765,1996,9,25
9/26/1996,0.785,1996,9,26
9/27/1996,0.785,1996,9,27
9/30/1996,0.775,1996,9,30
