yr,area,Season,fz,pounds,effort
1960,1,1,1,506760,613.41
1960,1,1,2,5509492,8164.48
1960,1,1,3,13384,21.1
1960,1,2,1,466172,745.41
1960,1,2,2,2052921,3076.12
1960,1,2,3,9210,22.89
1960,1,3,1,735518,556.13
1960,1,3,2,6257670,4784.05
1960,1,3,3,0,0
1960,2,1,1,1011,4.52
1960,2,1,2,74774,139.72
1960,2,1,3,37375,77.2
1960,2,2,1,2568229,2020.91
1960,2,2,2,2051985,2539.83
1960,2,2,3,42404,126.38
1960,2,3,1,397104,570.63
1960,2,3,2,2066762,1939.75
1960,2,3,3,9965,17.5
1960,3,1,1,605425,1237.87
1960,3,1,2,2101591,3321.97
1960,3,1,3,777568,1282.32
1960,3,2,1,4750553,6507.11
1960,3,2,2,3140187,4084.85
1960,3,2,3,17502,44.47
1960,3,3,1,8913479,12668.24
1960,3,3,2,1713692,2089.21
1960,3,3,3,105143,170.1
1960,4,1,1,205395,402.98
1960,4,1,2,922724,2071.67
1960,4,1,3,57418,122.43
1960,4,2,1,5211983,3118.01
1960,4,2,2,14350992,13510.15
1960,4,2,3,4021,10.75
1960,4,3,1,3291906,3897.19
1960,4,3,2,12981629,15677.02
1960,4,3,3,68392,111.76
1961,1,1,1,908597,2257.21
1961,1,1,2,2263484,9777.58
1961,1,1,3,762,2.73
1961,1,2,1,371926,908.33
1961,1,2,2,1974942,4455.07
1961,1,2,3,0,0
1961,1,3,1,293041,596.48
1961,1,3,2,3151898,4414.79
1961,1,3,3,0,0
1961,2,1,1,1004,12.27
1961,2,1,2,37628,383.45
1961,2,1,3,16709,38.29
1961,2,2,1,1123480,2614.49
1961,2,2,2,1579618,3395.6
1961,2,2,3,16444,42.2
1961,2,3,1,98654,264.53
1961,2,3,2,460430,1139.15
1961,2,3,3,36476,99.71
1961,3,1,1,61431,918.82
1961,3,1,2,199373,1635.95
1961,3,1,3,206092,816.86
1961,3,2,1,1494511,3557.19
1961,3,2,2,2291245,4996.18
1961,3,2,3,41280,112.6
1961,3,3,1,5021647,10419.32
1961,3,3,2,798135,1574.44
1961,3,3,3,233773,531.85
1961,4,1,1,311338,1042.88
1961,4,1,2,720957,3186.83
1961,4,1,3,40479,395.89
1961,4,2,1,957535,1923.38
1961,4,2,2,10738157,21203.41
1961,4,2,3,30350,58.92
1961,4,3,1,2478096,4846.41
1961,4,3,2,2814569,5629.26
1961,4,3,3,765282,869.94
1962,1,1,1,485606,963.18
1962,1,1,2,3849608,8486.04
1962,1,1,3,12673,43.05
1962,1,2,1,838963,1978.05
1962,1,2,2,1049484,2879.99
1962,1,2,3,0,0
1962,1,3,1,356018,588.19
1962,1,3,2,2996097,4234.9
1962,1,3,3,6247,6.04
1962,2,1,1,16890,58.72
1962,2,1,2,114180,332.18
1962,2,1,3,10792,41.99
1962,2,2,1,1573371,3817.82
1962,2,2,2,399510,891.32
1962,2,2,3,0,0
1962,2,3,1,669444,1089.85
1962,2,3,2,834976,1519.66
1962,2,3,3,4273,16.42
1962,3,1,1,299786,788.45
1962,3,1,2,471143,1317.35
1962,3,1,3,514048,1203.05
1962,3,2,1,1401603,3202.34
1962,3,2,2,1024810,2175.66
1962,3,2,3,160935,479.4
1962,3,3,1,8701809,17376.01
1962,3,3,2,627593,1259.24
1962,3,3,3,196205,411.47
1962,4,1,1,243456,849.89
1962,4,1,2,628724,1934.22
1962,4,1,3,470768,1086.79
1962,4,2,1,1214589,3125.89
1962,4,2,2,6693052,13522.32
1962,4,2,3,14523,41.85
1962,4,3,1,1407463,2212.69
1962,4,3,2,7981468,13902.86
1962,4,3,3,109573,169.54
1963,1,1,1,836809,1595.95
1963,1,1,2,4261059,8775.46
1963,1,1,3,8450,14
1963,1,2,1,900781,1157.72
1963,1,2,2,1650827,3143.45
1963,1,2,3,0,0
1963,1,3,1,235737,338.14
1963,1,3,2,4019061,5003.96
1963,1,3,3,0,0
1963,2,1,1,37136,41.53
1963,2,1,2,202408,502.04
1963,2,1,3,40358,102.39
1963,2,2,1,3624318,3798.5
1963,2,2,2,1511212,1957.32
1963,2,2,3,22938,72.84
1963,2,3,1,2278955,2540.65
1963,2,3,2,334395,480.45
1963,2,3,3,0,0
1963,3,1,1,960967,2507.44
1963,3,1,2,524015,1326.19
1963,3,1,3,304671,743.57
1963,3,2,1,4965990,8772.38
1963,3,2,2,5454678,5946.79
1963,3,2,3,52393,109.49
1963,3,3,1,16159557,15490.88
1963,3,3,2,1130485,1399.98
1963,3,3,3,44858,56.36
1963,4,1,1,157998,440.5
1963,4,1,2,600209,2102.65
1963,4,1,3,81715,277.55
1963,4,2,1,1164052,2141.15
1963,4,2,2,12686859,16892.16
1963,4,2,3,28103,58.71
1963,4,3,1,2342620,3640.1
1963,4,3,2,10108294,14424.02
1963,4,3,3,153803,188.9
1964,1,1,1,1050877,1855.77
1964,1,1,2,4753929,9561.55
1964,1,1,3,1687,3.5
1964,1,2,1,917408,1519.21
1964,1,2,2,2297600,3502.13
1964,1,2,3,0,0
1964,1,3,1,741196,902.73
1964,1,3,2,4561328,5240.23
1964,1,3,3,17825,11
1964,2,1,1,207532,217.93
1964,2,1,2,304828,603.54
1964,2,1,3,958,2.61
1964,2,2,1,1876827,3023.48
1964,2,2,2,2158966,2977.87
1964,2,2,3,7691,24.85
1964,2,3,1,1220665,1514.59
1964,2,3,2,1152595,1313.54
1964,2,3,3,0,0
1964,3,1,1,3093863,3300.86
1964,3,1,2,925125,1889.32
1964,3,1,3,276819,528.95
1964,3,2,1,6020029,12659.45
1964,3,2,2,2163991,4701.1
1964,3,2,3,101963,212.83
1964,3,3,1,11467529,19774.59
1964,3,3,2,1005829,1492.01
1964,3,3,3,40863,58.71
1964,4,1,1,432327,938.91
1964,4,1,2,849247,2522.98
1964,4,1,3,55957,136.36
1964,4,2,1,1898680,3684.83
1964,4,2,2,10693700,17440.78
1964,4,2,3,31556,95.03
1964,4,3,1,2318105,4210.86
1964,4,3,2,6276230,11063.36
1964,4,3,3,249712,499.44
1965,1,1,1,881281,1478.85
1965,1,1,2,4442670,9181.5
1965,1,1,3,4078,6
1965,1,2,1,782813,1363.95
1965,1,2,2,1897362,3708.63
1965,1,2,3,8670,16
1965,1,3,1,928212,1175.67
1965,1,3,2,6089081,5420.09
1965,1,3,3,1075,2.3
1965,2,1,1,68222,167.14
1965,2,1,2,496383,852.88
1965,2,1,3,114036,210.11
1965,2,2,1,3258388,2964.41
1965,2,2,2,2429330,2983.73
1965,2,2,3,62929,96.62
1965,2,3,1,1015154,1287.47
1965,2,3,2,1252803,1628.32
1965,2,3,3,193476,210.16
1965,3,1,1,3877111,6844.2
1965,3,1,2,1297649,3098.87
1965,3,1,3,320871,617.89
1965,3,2,1,4451164,9658.35
1965,3,2,2,4820052,6791.03
1965,3,2,3,308987,598.19
1965,3,3,1,8299119,15666.95
1965,3,3,2,1631697,2016.85
1965,3,3,3,317876,442.07
1965,4,1,1,486381,1141.64
1965,4,1,2,652847,2014.34
1965,4,1,3,106442,300.29
1965,4,2,1,1064138,1889.7
1965,4,2,2,13059058,15356.41
1965,4,2,3,127815,199.7
1965,4,3,1,1668038,2225.7
1965,4,3,2,11426560,15098.98
1965,4,3,3,350073,444.98
1966,1,1,1,1019725,1975.01
1966,1,1,2,4953636,8640.64
1966,1,1,3,22902,57.05
1966,1,2,1,1146267,1940.63
1966,1,2,2,1398412,3034.92
1966,1,2,3,7840,12.18
1966,1,3,1,316658,417.02
