SUBAREA,YEARU,CW,jd,PRICEPPND
13,2004,0,1,34
14,2004,0,1,105
18,2004,0,1,199.071428571429
11,2005,0,1,351.666666666667
12,2005,0,1,55
18,2005,0,1,158.333333333333
19,2005,0,1,262.5
12,2006,0,1,144
13,2006,0,1,80
18,2006,0,1,200
13,2008,0,1,246.25
17,2008,0,1,297.428571428571
18,2008,0,1,274.5
12,2009,0,1,90
13,2009,0,1,85
13,2010,0,1,91
15,2010,0,1,165
11,2011,0,1,348
13,2011,0,1,105
14,2011,0,1,92.8571428571429
19,2011,0,1,430
17,2007,1,1,169.833333333333
13,2004,0,2,47.7777777777778
16,2004,0,2,174.705882352941
17,2004,0,2,167.5
13,2005,0,2,70
17,2005,0,2,207.4
19,2005,0,2,263.333333333333
11,2008,0,2,337.875
12,2008,0,2,312.619047619048
13,2008,0,2,176.470588235294
15,2008,0,2,110
17,2008,0,2,338
18,2008,0,2,61
12,2009,0,2,336
13,2009,0,2,73.2352941176471
15,2009,0,2,105
16,2009,0,2,157.5
17,2009,0,2,161.727272727273
18,2009,0,2,79.5
19,2009,0,2,364.5
11,2010,0,2,115
12,2010,0,2,105
13,2010,0,2,81
15,2010,0,2,238.25
17,2010,0,2,238.096774193548
18,2010,0,2,100
19,2010,0,2,244.333333333333
11,2011,0,2,308.461538461538
13,2011,0,2,85
15,2011,0,2,359.5
17,2011,0,2,167.375
18,2011,0,2,210.2
12,2006,1,2,137.857142857143
13,2006,1,2,100.166666666667
14,2006,1,2,133.611111111111
15,2006,1,2,147.647058823529
16,2006,1,2,139.166666666667
17,2006,1,2,190.8
11,2007,1,2,267.207920792079
12,2007,1,2,86.6666666666667
13,2007,1,2,67.5
14,2007,1,2,123.611111111111
15,2007,1,2,95
17,2007,1,2,147.136363636364
18,2007,1,2,58.3333333333333
13,2004,0,3,93.8823529411765
15,2004,0,3,101.5
11,2008,0,3,147.5
13,2008,0,3,140.441176470588
15,2008,0,3,113.75
17,2008,0,3,164.454545454545
18,2008,0,3,251.5
19,2008,0,3,302.666666666667
11,2009,0,3,157.5
12,2009,0,3,463.818181818182
13,2009,0,3,101.578947368421
15,2009,0,3,161.5
18,2009,0,3,114
13,2010,0,3,97.6923076923077
14,2010,0,3,46.6666666666667
18,2010,0,3,80
11,2005,1,3,120
13,2005,1,3,129.04347826087
14,2005,1,3,206.304347826087
15,2005,1,3,203.333333333333
16,2005,1,3,50
17,2005,1,3,236.222222222222
18,2005,1,3,189.333333333333
19,2005,1,3,260.833333333333
11,2006,1,3,150.125
12,2006,1,3,146.25
13,2006,1,3,168.90243902439
14,2006,1,3,213.235294117647
15,2006,1,3,153.25
16,2006,1,3,132.941176470588
17,2006,1,3,80
18,2006,1,3,103.333333333333
19,2006,1,3,225.434782608696
20,2006,1,3,373.75
21,2006,1,3,299.375
11,2007,1,3,220.454545454545
12,2007,1,3,170
13,2007,1,3,118.684210526316
14,2007,1,3,94
15,2007,1,3,104.285714285714
17,2007,1,3,114.444444444444
18,2007,1,3,72.2
19,2007,1,3,187
11,2011,1,3,113.571428571429
12,2011,1,3,105
13,2011,1,3,298.076923076923
14,2011,1,3,93.8888888888889
15,2011,1,3,162.764705882353
16,2011,1,3,377.933333333333
17,2011,1,3,383.666666666667
18,2011,1,3,55
13,2004,0,4,32
17,2004,0,4,80
11,2008,0,4,315.294117647059
13,2008,0,4,119.864864864865
15,2008,0,4,180.714285714286
17,2008,0,4,290.657142857143
18,2008,0,4,70.5714285714286
11,2009,0,4,95
12,2009,0,4,103.75
13,2009,0,4,111.875
14,2009,0,4,74.1666666666667
15,2009,0,4,90
17,2009,0,4,172.25
11,2005,1,4,217
13,2005,1,4,156.242424242424
14,2005,1,4,142.888888888889
15,2005,1,4,237.8
17,2005,1,4,350
18,2005,1,4,200.571428571429
11,2006,1,4,182.307692307692
12,2006,1,4,109.1
13,2006,1,4,111.875
14,2006,1,4,98
15,2006,1,4,151
16,2006,1,4,113.333333333333
17,2006,1,4,158.357142857143
18,2006,1,4,150.857142857143
13,2007,1,4,118.913043478261
14,2007,1,4,226.25
17,2007,1,4,189.75
18,2007,1,4,49
11,2010,1,4,129.166666666667
12,2010,1,4,92.1428571428571
13,2010,1,4,90.1923076923077
14,2010,1,4,88.1739130434783
15,2010,1,4,152.5
16,2010,1,4,101.25
17,2010,1,4,195.909090909091
19,2010,1,4,212.5
21,2010,1,4,310
11,2011,1,4,436.818181818182
12,2011,1,4,152.857142857143
13,2011,1,4,135.918367346939
14,2011,1,4,97.5
17,2011,1,4,114
18,2011,1,4,70
19,2011,1,4,321.75
11,2008,0,5,272.352941176471
13,2008,0,5,115.882352941176
15,2008,0,5,40
